file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00026_04986.800-04990.200,ཅི་ཡང་མི་འགྲུབ་པ་གསུངས་པས་ན། དམ་ཚིག་དང་སྡོམ་པ་སྲུང་བ་མེད་པའི་ཐབས་ ,ci yang mi 'grub pa gsungs pas na/_dam tshig dang sdom pa srung ba med pa'i thabs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00026_04986.800-04990.200.wav,STT_TT,3,66,3.399999999999636,wav16k/STT_TT00026_04986.800-04990.200.wav,ཅི་ཡང་མི་འགྲུབ་པར་གསུངས་པས་ན། དམ་ཚིག་དང་སྡོམ་པ་བསྲུང་བ་མེད་པའི་ཐབས་
STT_TT00026_05076.500-05077.400,དེ་ཚོ་མཛད་བཞག་པ་ད་དེ་ ,de tsho mdzad bzhag pa da de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00026_05076.500-05077.400.wav,STT_TT,3,22,0.8999999999996362,wav16k/STT_TT00026_05076.500-05077.400.wav,དེ་ཚུམ་མཛད་བཞག་པ་ད་དེ་ཚོའ་
STT_TT00026_05078.250-05078.750,དགོས་ཀི་རེད་གསུངས་བ་ ,dgos ki red gsungs ba _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00026_05078.250-05078.750.wav,STT_TT,3,21,0.5,wav16k/STT_TT00026_05078.250-05078.750.wav,དགོས་ཀི་རེད་གསུང་བ།
STT_TT00026_05079.250-05080.550,ཨེ་ནས་རྗེ་ཉིད་ཀྱིས་ཀྱང་།  ,e nas rje nyid kyis kyang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00026_05079.250-05080.550.wav,STT_TT,3,26,1.300000000000182,wav16k/STT_TT00026_05079.250-05080.550.wav,ཨེ་ནས་རྗེ་ཉིད་ཀྱིས་ཀྱང་
STT_NS0014_0137_935431_to_941279,སླེབས་སོང་། ཨ་ལེ་ལེ། འོ་འོ། ང་དཀྱིལ་མ་འདྲ་བོ་བྱེད་ནས། ངས་ཟུར་འདི་བ་ལྟ་ཡིན་པ། ཁྱོད་འདུག་བའི་མི་འདུག་བའི། འོ་འོ། ཁྱོད་དམིགས་བསལ་མཐོང་ཡ་འདྲ་བོ་མི་འདུག་ག ,slebs song /_a le le/_'o 'o/_nga dkyil ma 'dra bo byed nas/_ngas zur 'di ba lta yin pa/_khyod 'dug ba'i mi 'dug ba'i/_'o 'o/_khyod dmigs bsal mthong ya 'dra bo mi 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0014_0137_935431_to_941279.wav,STT_NS,3,150,5.848,wav16k/STT_NS0014_0137_935431_to_941279.wav,ཨ་ལེ། ་དཀྱིལ་མ་འདྲ་བོ་ཐོན་དུས།ངས་ཟུར་དེ་བ་ལྟ་ཡིན་པ་ཁྱོད་ལ་ ཁྱོད་དམིགས་བསལ་མཐོང་ཡ་འདྲ་བོ་མི་འདུག་ཨ།
STT_NS0014_0005_39090_to_46380,ང་ཁྱེད་རང་ཡིན་ན་མིན་ན་ཏོག་ཙི་འདྲ་བོ་འདུག་ད་ཡོད་ཨ་འུ་ཧུ་འདྲ་བོ་ཅིག་འདུག་ཡིན་ན་མིན་ན་བསམ་སོང་། ཨ་ལེ་ཡ་ཡ་ཡ་འུ་འུ་ག་བར་འགྲོ་ཡིན་སྒྲོལ་མ་ཚེ་རིང་ ,nga khyed rang yin na min na tog tsi 'dra bo 'dug da yod a 'u hu 'dra bo cig 'dug yin na min na bsam song /_a le ya ya ya 'u 'u ga bar 'gro yin sgrol ma tshe ring _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0014_0005_39090_to_46380.wav,STT_NS,3,140,7.29,wav16k/STT_NS0014_0005_39090_to_46380.wav,ང་ཁྱོད་ཡིན་ྣ་མིན་ན་ཏོག་ཙི་འདྲ་བོ་ཅིག་འདུག་ད་ཡོད་བ། གཟུགས་པོ་ལྟ་འདྲ་བོ་ཅིག་འདུག ཡིན་ན་མིན་ན་འདྲ་བསམ་སོང་བ། ཨ་ལེ་ལེ།ཡ་ཡ། ། ག་བ་འགྲོ་ཡ་ཡིན་ད་་སེང།
STT_NS0014_0008_52776_to_58581,ཨ་ལེ་ལེ་ཁྱོད་ག་བ་འགྲོ་ཡིན་ཨེ་ནས་ང་གཅིག་པ་རེད་འདུག་བ་ལྟད་མོ་གཅིག་ལྟ་གི་འགྲོ་དགོས་བསམ་སོང་ད་ལྟ་འདིས། ཨ་ཁྱོད་ལྟད་མོ་འགྲོ་ཡ་ཡིན་པས་ལྟད་མོ་ལྟ་ག་ ,a le le khyod ga ba 'gro yin e nas nga gcig pa red 'dug ba ltad mo gcig lta gi 'gro dgos bsam song da lta 'dis/_a khyod ltad mo 'gro ya yin pas ltad mo lta ga _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0014_0008_52776_to_58581.wav,STT_NS,3,140,5.805,wav16k/STT_NS0014_0008_52776_to_58581.wav,ཨ་ལེ། ཁྱོད་ག་བར་འགྲོ་ཡིན་ནས། ང་གཅིག་པ་རེད་འདུག་བ། ང་པྷ་ལྟད་མོ་ཅིག་ལྟ་ག་འགྲོ་དགོས་བསམ་སོང་། ྲོད་ལྟད་མོ་འགྲོ་ཡ་ཡིན་པས། ཨུལྟད་མོ་བལྟ་ག
STT_NS0014_0009_58581_to_64386,དམིགས་བསལ་ད་ལྟ་ཁྱོད་རང་གིས་འདིས་སུ་འུ་ག་རེ་ལབ་དགོ་རེད་དམིགས་བསལ་གིས་འགྲོ་ས་དེ་འདྲའི་ཡོད་འེ་ ,dmigs bsal da lta khyod rang gis 'dis su 'u ga re lab dgo red dmigs bsal gis 'gro sa de 'dra'i yod 'e _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0014_0009_58581_to_64386.wav,STT_NS,3,92,5.805,wav16k/STT_NS0014_0009_58581_to_64386.wav,དམིགས་བསལ་ག་ད་ལྟ་ཁྱོད་རང་གི་དེ་ག་རེ་ལབ་དགོས་རེད། དམིགས་བསལ་གི་ཡང་འགྲོ་ས་དེ་འདྲའི་ཡོད་བེ།
STT_NS0014_0010_64740_to_73937,འུ་ང་ཡོ་ཡག་པོ་ད་ཧ་གོ་གི་མེད་ད་ཡོད་ཨ་རོགས་པ་ཅིག་ཡོད་རེད་ལབ་སོང་། དེ་ལ་ཕར་སྐད་ཆ་དྲིས་གི་འགྲོ་དགོ་བསམ་སོང་ཨ་ལེ་ལེ་ཁྱོད་དམིགས་བསལ་རོགས་པ་འདྲ་བོ་ཕ་ལ་མེད་མེད་མེད་ཨ་ལེ་གཅིག་པུ་འགྲོ་ཡ་ཡིན་པས་འུ་ ,'u nga yo yag po da ha go gi med da yod a rogs pa cig yod red lab song /_de la phar skad cha dris gi 'gro dgo bsam song a le le khyod dmigs bsal rogs pa 'dra bo pha la med med med a le gcig pu 'gro ya yin pas 'u _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0014_0010_64740_to_73937.wav,STT_NS,3,187,9.197,wav16k/STT_NS0014_0010_64740_to_73937.wav,ང་ང་ཡག་པོ་ད་ཧ་གོ་གི་མེད་ད་ཡོད་བ། རོགས་པ་གཅིག་ཡོད་རེད་ལབ་སོང་། ད་དེ་ལ་ཕར་སྐད་ཆ་དྲིས་གིན་འགྲོ་གི་འགྲོ་བསམ་སོང་། ཨ་ལེ། ཨ་ལེ། ཁྱོད་དམིགས་བསལ་རོགས་པ་འདྲ་བོ་ཕར་ལ་མེད་བེ། མེད་མེད། ཨ་ལེ་ལེ། གཅིག་པུ་འགྲོ་ཡིན་པས། ཨུ
STT_NS0014_0011_77363_to_86577,ཨོ་དཔེ་ཡག་པོ་བྱུང་སོང་ད་ང་ཡང་འགྲོ་སྟངས་ཞེ་བོ་ཞེ་བོ་ཧ་གི་མེད་ཕ་ས་ཆ་དེ་ལ་འུ་ཁྱོད་རོགས་པ་རག་ར་དཔེ་ཡག་པོ་བྱུང་སོང་། ཨ་ལེ་ཨེ་ནས་མཉམ་དུ་འགྲོ་ར་རེད་རེད་དཔེ་ཡག་པོ་བྱུང་གཞན་པ་ང་མྱང་བཅུག་ས་རེད ,o dpe yag po byung song da nga yang 'gro stangs zhe bo zhe bo ha gi med pha sa cha de la 'u khyod rogs pa rag ra dpe yag po byung song /_a le e nas mnyam du 'gro ra red red dpe yag po byung gzhan pa nga myang bcug sa red_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0014_0011_77363_to_86577.wav,STT_NS,3,183,9.214,wav16k/STT_NS0014_0011_77363_to_86577.wav,ཨདཔེ་ཡག་པོ་བྱུང་སོང་། ད་ང་ཡི་འགྲོ་སྟངས་ཞེ་བོ་ཞེ་བོ་ཧ་གོ་གི་མི་འདུག ཕར་ས་ཆ་དེ་ལ་ཡ། ཨུ། ཨེ་ནས་ཁྱོད་རོགས་པ་རག་ལ་དཔེ་ཡག་པོ་བྱུང་སོང་། ཨ་ལེ། ཨེ་ནས་མཉམ་དུ་འགྲོ་རེད་། རེད་རེད་རེད། ཨུ དཔེ་ཡག་པོ། གཞན་པ་ད་ང་ཉར་བཅུག་ས་རེད་ཕ།
